app,l,snippets,eloc,#covered_snippets,covered_eloc,#retrieved_clones,snippets_coverage,eloc_coverage,avg_clones_per_covered_snippet
FORMWatchFace,3,1043,10402,248,964,2633,0.237775647,0.092674486,10.61693548
openshop.io-android,3,4080,33286,1351,6727,18947,0.331127451,0.202096978,14.02442635
hubble_gallery,3,1128,6451,427,1676,6122,0.378546099,0.259804681,14.33723653
Git.NB,3,4170,27658,1733,7998,23823,0.41558753,0.289174922,13.74668205
android_tv_metro,3,2326,15845,971,4819,8793,0.417454858,0.304133796,9.05561277
Travel-Mate,3,2225,15319,1102,4841,23864,0.495280899,0.316012795,21.65517241
memory-game,3,574,2365,264,873,3685,0.459930314,0.369133192,13.95833333
36krReader,3,1593,10844,737,4045,14192,0.46264909,0.373017337,19.25644505
github-status,3,451,2396,199,933,2207,0.441241685,0.389398998,11.09045226
VideoFly,3,635,3921,310,1606,5041,0.488188976,0.40958939,16.26129032
NightSight,3,146,756,76,315,1370,0.520547945,0.416666667,18.02631579
coins-android,3,115,706,60,303,1416,0.52173913,0.42917847,23.6
SoundRecorder,3,327,1846,169,861,3866,0.516819572,0.466413868,22.87573964
CarbonContacts,3,302,2778,148,1311,4501,0.490066225,0.471922246,30.41216216
banya,3,1610,9096,904,4674,18225,0.561490683,0.513852243,20.16039823
10-bitClockWidget,3,71,371,38,195,901,0.535211268,0.525606469,23.71052632
FORMWatchFace,6,1072,12656,215,1243,1614,0.200559701,0.098214286,7.506976744
openshop.io-android,6,3717,38023,1035,6876,14187,0.278450363,0.180837914,13.70724638
hubble_gallery,6,1081,7904,355,1845,5067,0.32839963,0.233426113,14.27323944
Git.NB,6,4118,33168,1389,8667,17696,0.33729966,0.261306078,12.74010079
android_tv_metro,6,2095,17739,740,4733,5702,0.353221957,0.266813236,7.705405405
Travel-Mate,6,2182,19962,944,5740,18555,0.432630614,0.287546338,19.65572034
memory-game,6,545,2604,215,869,2685,0.394495413,0.333717358,12.48837209
36krReader,6,1401,12006,564,4040,11210,0.402569593,0.336498417,19.87588652
github-status,6,423,2785,167,1039,2159,0.394799054,0.373070018,12.92814371
coins-android,6,106,809,52,320,1382,0.490566038,0.395550062,26.57692308
VideoFly,6,609,4604,269,1873,2785,0.441707718,0.406820156,10.35315985
NightSight,6,144,950,77,413,982,0.534722222,0.434736842,12.75324675
CarbonContacts,6,280,3237,129,1418,3346,0.460714286,0.438059932,25.9379845
SoundRecorder,6,309,2164,150,968,3444,0.485436893,0.447319778,22.96
banya,6,1516,10338,786,5114,14067,0.518469657,0.494679822,17.89694656
10-bitClockWidget,6,68,482,33,239,519,0.485294118,0.495850622,15.72727273
FORMWatchFace,9,935,12729,168,1130,876,0.179679144,0.088773666,5.214285714
openshop.io-android,9,3265,38338,819,6228,11127,0.250842266,0.162449789,13.58608059
hubble_gallery,9,953,7990,316,1911,3952,0.33158447,0.239173967,12.50632911
Git.NB,9,3634,33365,1114,8115,12576,0.306549257,0.243218942,11.28904847
android_tv_metro,9,1801,17589,608,4365,4061,0.337590228,0.248166468,6.679276316
Travel-Mate,9,1937,21483,787,5639,14713,0.4062984,0.262486617,18.69504447
memory-game,9,485,2501,179,775,2261,0.369072165,0.30987605,12.63128492
36krReader,9,1214,11913,467,3761,9713,0.384678748,0.315705532,20.7987152
github-status,9,353,2654,122,943,1683,0.345609065,0.355312735,13.79508197
